time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ Read_calibratedZeroAngle,
1414434497009,,,5.91,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-0.88,0.66,0.59,False,6,0,0,750.00,System,0.00,0.00,180.00,
1414434497150,,,19.49,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-0.52,0.77,1.71,False,7,0,0,750.00,System,0.01,0.01,180.00,
1414434497307,,,-4.27,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-0.36,0.89,0.23,False,5,0,0,750.00,System,0.14,0.14,180.00,
1414434497463,,,11.46,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-0.33,1.04,0.83,False,6,0,0,750.00,System,0.03,0.01,180.00,
1414434497624,,,8.37,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,0.08,0.98,0.52,False,5,0,0,750.00,System,0.02,0.03,180.00,
1414434497776,,,31.82,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,0.32,0.92,0.62,False,6,0,0,750.00,System,0.01,0.02,180.00,
1414434497931,,,38.40,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,0.36,0.92,1.14,False,6,0,0,750.00,System,0.00,0.00,180.00,
1414434498094,,,16.57,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,0.17,0.70,1.28,False,5,0,0,750.00,System,0.01,0.02,180.00,
1414434498250,,,14.69,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-0.69,0.61,0.86,False,5,0,0,750.00,System,0.00,0.00,180.00,
1414434498406,,,100.00,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-1.69,0.64,3.68,False,5,0,0,750.00,System,0.00,0.00,180.00,
1414434498561,,,50.21,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-3.17,0.41,4.05,False,6,0,0,750.00,System,0.14,0.61,180.00,
1414434498720,,,30.03,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.37,0.98,3.65,False,7,0,0,750.00,System,0.15,0.38,180.00,
1414434498901,,,23.98,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-4.86,1.07,2.49,False,5,0,0,750.00,System,0.00,0.00,180.00,
1414434499035,,,53.03,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-6.10,0.80,2.44,False,6,0,0,750.00,System,0.04,0.12,180.00,
1414434499196,,,82.21,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-6.58,1.05,3.06,False,6,0,0,750.00,System,0.03,0.15,180.00,
1414434499357,,,58.16,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-7.65,0.40,3.44,False,6,0,0,750.00,System,0.00,0.00,180.00,
1414434499516,,,34.81,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-9.36,0.91,3.76,False,6,0,0,750.00,System,0.01,0.07,180.00,
1414434499679,,,62.99,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-11.89,1.46,4.12,False,6,0,0,750.00,System,0.02,0.09,180.00,
1414434499818,,,64.82,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-14.21,0.27,6.11,False,7,0,0,750.00,System,0.00,0.01,180.00,
1414434499991,,,15.76,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-16.57,0.40,8.68,False,6,0,0,750.00,System,0.01,0.06,180.00,
1414434500133,,,4.44,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-18.23,0.32,7.40,False,6,0,0,750.00,System,0.20,1.01,180.00,
1414434500313,,,12.27,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-20.70,1.42,5.27,False,7,0,0,750.00,System,0.65,1.62,180.00,
1414434500454,,,30.12,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-21.86,1.31,3.88,False,5,0,0,750.00,System,0.08,0.26,180.00,
1414434500630,,,45.70,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-23.13,1.60,3.24,False,5,0,0,750.00,System,0.18,0.44,180.00,
1414434500773,,,37.53,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-24.56,1.67,7.13,False,6,0,0,750.00,System,0.00,0.00,180.00,
1414434500932,,,20.61,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-26.17,0.48,7.34,False,7,0,0,750.00,System,0.15,0.44,180.00,
1414434501088,,,-15.62,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-27.70,0.52,3.33,False,6,0,0,750.00,System,0.28,0.42,180.00,
1414434501245,,,17.11,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-28.88,0.46,4.23,False,5,0,0,750.00,System,0.06,0.17,180.00,
1414434501398,,,11.90,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-29.98,0.28,6.93,False,6,0,0,750.00,System,0.06,0.23,180.00,
1414434501559,,,-0.54,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-30.87,0.94,4.21,False,8,0,0,750.00,System,0.47,0.93,180.00,
