time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414696038685,1.00,0.00,-3.03,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.21,1.18,2.56,False,6,0,0,750.00,System,0.17,0.09,0.5,180.00,
1414696038816,1.00,0.00,-1.60,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.05,1.22,3.68,False,6,0,0,750.00,System,0.14,0.08,0.5,180.00,
1414696039099,1.00,0.00,-22.16,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.25,1.20,4.44,False,5,0,0,750.00,System,0.17,0.08,0.5,180.00,
1414696039238,-1.00,0.00,-35.56,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.38,1.20,5.49,False,5,0,0,750.00,System,0.22,0.10,0.5,180.00,
1414696039351,-1.00,0.00,-29.62,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.44,1.16,7.19,False,5,0,0,750.00,System,0.24,0.11,0.5,180.00,
1414696039470,-1.00,0.00,-47.05,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.55,1.13,7.25,False,7,0,0,750.00,System,0.51,0.20,0.5,180.00,
1414696039587,-1.00,0.00,-35.84,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.59,1.11,6.18,False,5,0,0,750.00,System,0.38,0.19,0.5,180.00,
1414696039706,-1.00,0.00,-20.12,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.59,1.13,4.90,False,6,0,0,750.00,System,0.35,0.18,0.5,180.00,
1414696039859,-1.00,0.00,-12.97,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.47,1.17,4.21,False,6,0,0,750.00,System,0.24,0.14,0.5,180.00,
1414696039962,-1.00,0.00,-9.03,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.48,1.16,3.96,False,5,0,0,750.00,System,0.16,0.10,0.5,180.00,
